ts_unix,elapsed_s,cpu_pct,mem_used_gb,mem_total_gb,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_power_w,gpu_temp_c,trainer_pid,trainer_rss_mb,trainer_cpu_pct,gen_alive,gen_rss_mb,gen_cpu_pct,train_tasks
1770845346,30,31.55,26.79,503.37,49,1,3032,40960,108.05,30,,,,0,,,
1770845376,60,39.33,28.43,503.37,47,29,1848,40960,109.95,30,,,,0,,,
1770845406,90,39.21,29.22,503.37,98,56,2274,40960,157.45,31,,,,0,,,
1770845436,120,38.15,32.05,503.37,10,0,4366,40960,74.54,28,,,,0,,,
1770845466,150,34.08,33.62,503.37,99,65,4389,40960,160.93,31,,,,0,,,
1770845496,180,32.39,34.13,503.37,54,0,4436,40960,108.49,29,,,,0,,,
1770845526,210,31.65,34.81,503.37,38,2,5764,40960,116.65,30,,,,0,,,
1770845556,240,31.96,34.96,503.37,27,0,7221,40960,108.76,30,,,,0,,,
1770845586,270,31.50,35.20,503.37,99,33,8445,40960,167.94,33,,,,0,,,
1770845616,300,37.26,36.30,503.37,95,21,7839,40960,179.95,35,,,,0,,,4478
1770845647,331,40.95,37.49,503.37,98,4,7864,40960,154.07,34,,,,0,,,
1770845677,361,41.12,37.81,503.37,95,16,7864,40960,181.69,36,,,,0,,,
1770845707,391,39.29,38.08,503.37,97,21,7905,40960,180.49,36,,,,0,,,
1770845737,421,31.78,38.48,503.37,42,0,7935,40960,84.22,31,,,,0,,,
1770845767,451,37.68,39.69,503.37,97,12,8731,40960,155.27,37,,,,0,,,
1770845797,481,40.17,40.24,503.37,96,15,8795,40960,185.16,37,,,,0,,,
1770845828,512,42.62,41.83,503.37,95,20,8795,40960,168.54,36,,,,0,,,
1770845858,542,42.43,42.09,503.37,95,21,8803,40960,191.63,36,,,,0,,,
1770845888,572,34.62,42.19,503.37,98,14,8817,40960,158.21,35,,,,0,,,
1770845918,602,39.37,43.03,503.37,94,21,8837,40960,201.19,34,,,,0,,,4478
1770845948,632,42.84,43.17,503.37,92,8,8852,40960,170.27,34,,,,0,,,
1770845978,662,42.75,43.38,503.37,99,3,8860,40960,247.40,35,,,,0,,,
1770846009,693,47.41,43.77,503.37,99,4,8860,40960,227.56,34,,,,0,,,
1770846039,723,39.69,42.51,503.37,98,6,8890,40960,165.93,33,,,,0,,,
1770846069,753,35.88,43.58,503.37,55,7,8991,40960,185.77,32,,,,0,,,
1770846099,783,43.75,43.61,503.37,100,2,8995,40960,174.68,34,,,,0,,,
1770846129,813,42.93,43.74,503.37,97,21,9025,40960,177.61,35,,,,0,,,
1770846159,843,42.66,43.71,503.37,94,19,9033,40960,173.48,34,,,,0,,,
1770846189,873,38.80,43.97,503.37,95,4,9033,40960,181.42,36,,,,0,,,
1770846220,904,36.90,45.59,503.37,56,2,9188,40960,113.31,32,,,,0,,,4478
1770846250,934,47.36,44.51,503.37,98,15,9199,40960,175.54,36,,,,0,,,
1770846280,964,43.82,44.09,503.37,98,4,9233,40960,195.71,37,,,,0,,,
1770846310,994,43.32,43.43,503.37,97,13,9233,40960,177.29,36,,,,0,,,
1770846340,1024,40.56,43.59,503.37,97,20,9233,40960,187.50,37,,,,0,,,
1770846370,1054,35.66,44.31,503.37,28,0,9246,40960,109.52,32,,,,0,,,
1770846400,1084,42.98,44.62,503.37,99,4,9269,40960,175.82,35,,,,0,,,
1770846431,1115,44.27,45.13,503.37,99,4,9298,40960,167.07,35,,,,0,,,
1770846461,1145,48.42,45.16,503.37,95,17,9310,40960,186.96,34,,,,0,,,
1770846491,1175,43.32,44.91,503.37,93,19,9310,40960,147.38,33,,,,0,,,
1770846521,1205,32.13,44.44,503.37,52,1,9343,40960,110.22,30,,,,0,,,4478
1770846551,1235,41.04,44.89,503.37,98,9,9356,40960,179.08,34,,,,0,,,
1770846581,1265,42.95,44.95,503.37,99,4,9391,40960,215.00,34,,,,0,,,
1770846611,1295,42.32,45.58,503.37,95,15,9448,40960,240.71,35,,,,0,,,
1770846641,1325,42.47,45.51,503.37,99,5,9452,40960,178.48,35,,,,0,,,
1770846672,1356,38.04,45.96,503.37,98,4,9452,40960,155.27,35,,,,0,,,
1770846702,1386,43.97,46.21,503.37,87,15,9465,40960,141.96,36,,,,0,,,
1770846732,1416,42.55,45.85,503.37,97,14,9492,40960,174.95,36,,,,0,,,
1770846762,1446,42.09,44.88,503.37,97,15,9492,40960,162.40,36,,,,0,,,
1770846792,1476,42.60,45.34,503.37,97,13,9492,40960,183.16,36,,,,0,,,
1770846822,1506,35.12,45.73,503.37,99,4,9492,40960,189.29,37,,,,0,,,4478
1770846853,1537,37.81,43.74,503.37,93,20,8939,40960,228.16,37,,,,0,,,
1770846883,1567,43.64,44.92,503.37,99,4,9071,40960,234.57,36,,,,0,,,
1770846913,1597,47.52,44.91,503.37,99,7,9085,40960,181.69,36,,,,0,,,
1770846943,1627,43.82,42.94,503.37,99,8,8599,40960,187.83,35,,,,0,,,
1770846973,1657,34.99,40.64,503.37,98,4,8105,40960,225.49,35,,,,0,,,
1770847003,1687,37.81,40.63,503.37,84,19,8132,40960,196.79,34,,,,0,,,
1770847033,1717,42.60,40.71,503.37,98,18,8177,40960,193.37,35,,,,0,,,
1770847063,1747,42.07,41.27,503.37,99,4,8299,40960,181.96,34,,,,0,,,
1770847094,1778,42.36,41.22,503.37,96,9,8311,40960,186.63,34,,,,0,,,
